Variable,min,max,mean,std
Temperature_C,0.0,58.9320189353001,26.503668331406207,17.97945985990911
Current_A,-76.7767246920353,1055.72129654848,19.731143445149495,39.353959475833335
Voltage_V,189.35409740156,400.15776,352.81479758764334,30.149845422328617
SOC_pct,0.986576065945007,100.0,51.003898631582686,31.60578959427371
PowerLoss_W,0.0,122597.941862298,99.24834730877087,478.9699269348441
AmbientTemp_C,0.0,50.0,25.86223444342339,18.150155008650025
MassScale,0.8,1.2,0.9999961459620946,0.1633008545170878
Delta_T,-1.4590995078833657e-09,0.005433033374600882,7.882426157374992e-06,3.45206789342178e-05
Time_s,0.0002822512464907,1499.99,749.9031574277357,433.0780359769379
dt,0.001000073399836765,0.010000000000218279,0.009995035612315337,0.00017699353320012093
